img_path,class,width,height,format,mode,is_corrupt
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
